"carat","cut","color","clarity","depth","table","price","x","y","z"
0.32,"Very Good","E","VS2",60.5,55,702,4.43,4.49,2.7
0.24,"Very Good","F","VS1",62,56,417,3.94,3.99,2.46
0.71,"Ideal","J","SI1",60.7,61,2001,5.72,5.77,3.49
0.3,"Premium","D","SI1",58.8,57,662,4.44,4.4,2.6
0.71,"Ideal","G","VS2",62.4,54,2762,5.72,5.76,3.58
1.53,"Premium","D","SI1",61.6,58,10907,7.42,7.35,4.55
0.59,"Good","G","VS1",60.4,61.2,1910,5.38,5.43,3.26
1.03,"Ideal","G","VS2",61.8,56,6241,6.54,6.48,4.02
1.06,"Ideal","I","SI2",62.8,55,3146,6.51,6.46,4.07
1.57,"Premium","G","SI1",59.2,59,11113,7.68,7.6,4.52
1.01,"Very Good","H","VVS1",60.6,56,6733,6.5,6.53,3.95
1.06,"Very Good","G","VS2",59.8,58,6818,6.64,6.7,3.99
0.63,"Premium","E","SI2",58.9,59,1169,5.64,5.6,3.31
0.57,"Ideal","D","SI1",61.4,55,1684,5.34,5.35,3.28
1.21,"Ideal","H","SI1",60.3,60,6620,6.9,6.87,4.15
0.7,"Ideal","G","VS1",61.2,57,3140,5.7,5.74,3.5
1.52,"Premium","E","VS1",60.1,59,16187,7.49,7.45,4.49
0.71,"Premium","D","SI1",61.3,58,2797,5.73,5.75,3.52
0.31,"Premium","I","SI1",62.8,60,537,4.31,4.29,2.7
0.59,"Ideal","G","VS1",64.1,54,1803,5.37,5.3,3.42
1.1,"Ideal","G","VVS2",61,56,9856,6.69,6.73,4.09
0.7,"Good","H","VVS2",63.7,54,2427,5.72,5.62,3.61
1.02,"Very Good","F","VVS2",59.9,57,9246,6.54,6.59,3.93
1.52,"Premium","E","VS1",59.9,60,16779,7.47,7.39,4.45
1.02,"Ideal","F","SI2",61.8,57,4832,6.49,6.43,3.99
1.01,"Ideal","G","VS2",61.6,56,6239,6.43,6.46,3.97
0.36,"Ideal","H","VVS2",62.3,57,726,4.52,4.57,2.83
0.42,"Premium","E","VS2",60.9,59,958,4.81,4.85,2.94
0.36,"Premium","G","VS1",59.7,56,932,4.67,4.64,2.78
1.01,"Very Good","E","SI1",63.4,60,5226,6.34,6.3,4.01
0.7,"Good","F","VS2",62.6,61,2591,5.56,5.62,3.5
0.75,"Ideal","G","SI1",61.6,55,2902,5.82,5.86,3.6
0.31,"Ideal","H","IF",61.4,57,772,4.36,4.39,2.68
0.35,"Very Good","H","VS2",60.1,56,567,4.61,4.64,2.78
0.75,"Very Good","F","SI1",63.4,58,2734,5.75,5.79,3.66
0.44,"Ideal","E","VS2",61.9,55,1003,4.86,4.89,3.02
0.55,"Ideal","E","VVS2",61.1,57,2362,5.25,5.29,3.22
0.98,"Premium","F","SI2",62.3,56,3485,6.44,6.35,3.98
1.51,"Ideal","G","SI1",62.9,57,11255,7.3,7.27,4.58
1,"Very Good","D","SI2",63.3,56,4704,6.38,6.35,4.03
0.41,"Premium","E","VS1",61.8,58,1079,4.73,4.75,2.93
0.72,"Ideal","F","SI2",62.4,55,2232,5.72,5.76,3.58
0.51,"Premium","J","VS2",61.5,58,1020,5.14,5.1,3.15
0.93,"Ideal","G","SI1",62,56,4546,6.22,6.26,3.87
0.96,"Fair","H","I1",61.1,60,1705,6.26,6.07,3.77
0.52,"Ideal","H","SI1",62,55,1730,5.16,5.2,3.21
0.51,"Ideal","G","VS1",62,56,1781,5.16,5.06,3.17
1.7,"Good","J","VS2",63.6,59,8134,7.53,7.48,4.77
0.52,"Ideal","I","SI1",62,54,1019,5.17,5.19,3.21
0.41,"Premium","D","VVS1",62.3,53,1582,4.78,4.75,2.97
0.38,"Very Good","G","SI1",62.1,54,755,4.64,4.67,2.9
2.02,"Very Good","H","SI2",62.7,59,15666,8.04,7.98,5.02
0.32,"Ideal","E","VS2",62.1,55,768,4.43,4.4,2.74
1.54,"Premium","H","VS2",61.9,61,10758,7.41,7.33,4.56
1.04,"Premium","F","VVS2",61.6,59,9505,6.53,6.49,4.01
0.33,"Ideal","J","SI2",62.4,54,366,4.43,4.45,2.77
0.5,"Ideal","G","VVS2",60.5,55,1838,5.13,5.15,3.11
0.9,"Very Good","G","VS1",61.5,56,4116,6.15,6.2,3.8
0.33,"Very Good","H","SI1",63,57,475,4.39,4.41,2.77
0.59,"Ideal","E","VS2",60.2,59,1941,5.47,5.49,3.3
1.23,"Very Good","F","VS1",60.6,58,9346,6.88,6.95,4.19
1.16,"Premium","I","SI2",62.1,58,4326,6.78,6.71,4.19
1.27,"Very Good","I","VS2",62.4,58,6443,6.83,6.89,4.28
0.72,"Premium","G","VS2",61.4,57,2550,5.83,5.77,3.56
0.27,"Very Good","E","VS1",62.9,56,470,4.12,4.15,2.6
0.56,"Ideal","H","VS2",62.4,56,1687,5.27,5.23,3.28
0.52,"Ideal","H","VVS1",62.1,53.8,1767,5.17,5.19,3.21
0.33,"Ideal","F","VVS2",60.7,56,761,4.46,4.5,2.72
0.3,"Ideal","D","VS2",62.8,57,911,4.31,4.29,2.7
1.71,"Very Good","F","VS1",61.9,61,17685,7.61,7.67,4.73
0.4,"Ideal","E","SI1",61.9,57,696,4.74,4.76,2.94
1.01,"Good","F","SI2",63,60,3827,6.28,6.35,3.98
0.38,"Ideal","E","VS1",61.4,56,920,4.66,4.69,2.87
0.3,"Ideal","H","VS2",62.1,55,457,4.3,4.33,2.68
1.16,"Ideal","I","SI2",62.8,57,3605,6.8,6.64,4.22
1.51,"Good","E","SI2",63.2,56,9833,7.26,7.32,4.61
1.01,"Good","J","VS1",61.5,61,4189,6.39,6.45,3.95
1.11,"Ideal","J","VS1",61.7,57,4854,6.67,6.72,4.13
0.7,"Good","F","VVS2",63.1,57,2940,5.59,5.66,3.55
0.52,"Very Good","H","VS1",62.2,55,1659,5.15,5.18,3.21
0.73,"Ideal","F","VVS1",61.4,56,5154,5.8,5.81,3.56
1.26,"Ideal","G","VS1",61.2,57,9032,7.03,6.95,4.28
1.51,"Good","G","VS2",64.2,54,11640,7.18,7.27,4.64
0.7,"Ideal","F","SI1",61.8,58,2343,5.7,5.75,3.54
0.52,"Ideal","D","VS2",62,53,1701,5.17,5.21,3.22
1.18,"Very Good","J","SI2",63.5,57,4294,6.68,6.74,4.26
0.7,"Good","E","SI2",56.9,61,1793,5.85,5.9,3.34
1.01,"Good","D","VVS2",63.5,57,8943,6.32,6.35,4.02
1,"Good","D","SI2",64,54,3304,6.29,6.24,4.01
0.29,"Very Good","F","VVS2",60.8,63,592,4.28,4.31,2.61
1.01,"Very Good","H","SI1",62.1,60,4432,6.4,6.44,3.99
0.37,"Very Good","F","SI1",62.5,58,616,4.52,4.57,2.84
1.01,"Good","F","SI1",63.8,59,4899,6.29,6.32,4.02
1.53,"Good","I","SI1",63.1,57,8095,7.28,7.34,4.61
0.7,"Ideal","J","VS2",61.6,56,1940,5.71,5.65,3.5
0.3,"Ideal","H","VVS1",61.9,57,665,4.29,4.31,2.66
0.29,"Ideal","G","VVS1",61.5,56,673,4.25,4.28,2.62
1.5,"Good","I","SI1",61.1,63,8254,7.27,7.34,4.46
0.41,"Ideal","E","VVS2",61.4,56,1187,4.77,4.81,2.94
0.31,"Very Good","H","VVS1",61.3,56,651,4.35,4.38,2.67
1.92,"Ideal","H","SI1",61.3,57,15472,8,8.06,4.92
0.73,"Ideal","D","VS2",61.4,56,3528,5.78,5.81,3.56
0.31,"Very Good","G","VS1",62.8,58,625,4.27,4.3,2.69
0.24,"Ideal","F","IF",61.6,57,678,3.97,4,2.45
1.6,"Ideal","H","VS1",61.4,57,12681,7.59,7.53,4.64
1.04,"Premium","D","SI2",60.9,57,4123,6.54,6.49,3.97
1,"Good","E","SI1",59.8,65,4213,6.56,6.45,3.89
1.09,"Premium","H","SI2",61.7,60,4496,6.57,6.59,4.06
0.41,"Ideal","H","VVS2",62,56,899,4.74,4.78,2.95
2.01,"Very Good","J","SI2",63.4,59,11660,7.99,7.95,5.05
0.56,"Ideal","I","VS2",62.1,54,1237,5.3,5.33,3.3
0.41,"Premium","D","VS2",62.4,60,1076,4.75,4.71,2.95
0.76,"Very Good","G","SI1",63.7,58,2579,5.75,5.8,3.68
0.3,"Ideal","E","VS2",61.8,55,658,4.33,4.35,2.68
1.52,"Very Good","I","SI1",62.7,59,7506,7.26,7.34,4.58
1.18,"Good","E","SI2",63.6,57,4071,6.74,6.72,4.28
1.14,"Ideal","J","VS2",61.4,55,4906,6.74,6.77,4.15
1.51,"Premium","E","SI1",58.3,59,12644,7.52,7.47,4.37
0.6,"Very Good","F","VVS1",61.2,58,3333,5.42,5.46,3.33
0.54,"Ideal","G","SI1",62.6,57,1389,5.21,5.18,3.25
1.52,"Premium","G","VS2",62.9,60,12148,7.31,7.28,4.59
1.06,"Ideal","I","VS2",61,57,5362,6.55,6.59,4.01
1.73,"Very Good","I","SI1",61.2,60,10761,7.65,7.67,4.69
0.3,"Very Good","G","VS1",62.2,59,605,4.24,4.28,2.65
1.54,"Very Good","F","VS2",60.8,58,13735,7.43,7.56,4.56
0.39,"Very Good","F","SI1",60,57,704,4.76,4.8,2.86
0.33,"Ideal","H","IF",60.5,56,959,4.54,4.52,2.74
1.65,"Ideal","G","IF",62.4,55,17569,7.53,7.61,4.72
0.81,"Good","D","SI1",64.1,54,3324,5.92,5.96,3.81
1.22,"Premium","D","VS2",59.4,59,9756,6.99,6.92,4.13
1.2,"Very Good","D","SI1",62.4,58,7646,6.75,6.78,4.23
0.9,"Premium","F","SI2",58.9,59,3803,6.31,6.26,3.7
0.3,"Premium","F","SI1",61.7,59,641,4.33,4.29,2.66
0.37,"Ideal","F","SI1",62.4,54,616,4.6,4.63,2.88
0.67,"Good","E","VS1",60.4,65,2427,5.67,5.65,3.42
0.71,"Ideal","J","VS2",61.5,59,2047,5.71,5.74,3.52
0.3,"Ideal","G","VS2",62.3,56,675,4.3,4.27,2.67
1.51,"Premium","H","SI1",61.3,60,10012,7.33,7.29,4.48
0.7,"Ideal","F","VS2",62.3,55,2622,5.71,5.65,3.54
1.5,"Very Good","H","SI1",62.4,58,9237,7.29,7.26,4.54
0.27,"Very Good","E","VS1",60.6,59,413,4.19,4.22,2.55
1,"Premium","H","VVS2",60.3,59,6037,6.46,6.41,3.88
1.14,"Ideal","I","SI2",62.1,55,4276,6.71,6.72,4.17
1.35,"Premium","G","VS1",61,59,10415,7.15,7.09,4.34
0.71,"Premium","F","VS1",60.5,58,2839,5.75,5.72,3.47
0.55,"Premium","F","VS2",59.7,58,1698,5.37,5.31,3.19
1.01,"Very Good","D","SI2",62.7,58,4606,6.31,6.39,3.98
1.01,"Ideal","G","VS2",61.8,56,6108,6.45,6.42,3.98
1.11,"Ideal","H","SI1",62.7,56,5386,6.65,6.59,4.15
1.2,"Very Good","G","VS2",63.1,57,7371,6.69,6.74,4.24
0.7,"Premium","J","VS1",60.9,58,2005,5.73,5.66,3.47
0.7,"Fair","F","SI1",65.9,59,2167,5.53,5.49,3.63
0.3,"Ideal","F","IF",61.8,58,886,4.27,4.3,2.65
1.52,"Good","J","SI1",63.6,60,7022,7.25,7.21,4.6
1.01,"Good","H","VS2",59.6,64,4909,6.53,6.45,3.87
0.31,"Ideal","H","VVS2",62.4,56,802,4.38,4.34,2.72
0.57,"Very Good","E","VS1",59.1,57,2008,5.43,5.5,3.23
0.73,"Ideal","G","VS1",61.7,56,3525,5.76,5.79,3.56
1.05,"Premium","F","SI1",61.6,57,5557,6.56,6.53,4.03
0.3,"Ideal","D","VVS2",59.4,60,802,4.39,4.47,2.63
0.35,"Ideal","E","VS1",62.3,57,747,4.51,4.55,2.82
0.73,"Very Good","G","VS1",62.4,58.1,2999,5.71,5.75,3.58
1.01,"Very Good","D","SI2",59.7,58,4564,6.55,6.61,3.93
0.9,"Very Good","F","SI1",62.5,62,3950,6.08,6.11,3.81
0.9,"Premium","E","VS1",59.4,59,5535,6.28,6.31,3.74
1.74,"Good","G","VS1",58.6,62,16223,7.83,7.88,4.6
0.4,"Ideal","D","SI1",62.5,55,950,4.73,4.71,2.95
0.56,"Premium","G","SI1",58.8,59,1441,5.4,5.38,3.17
0.62,"Premium","G","VS2",62.2,55,1823,5.51,5.46,3.41
0.43,"Premium","D","VVS1",59.6,58,1584,4.89,4.94,2.93
0.9,"Very Good","F","VS1",62.1,58,4898,6.15,6.19,3.83
0.42,"Good","D","SI2",60.7,61,617,4.78,4.84,2.92
1.51,"Premium","G","SI1",60.4,58,10655,7.46,7.38,4.48
0.31,"Premium","F","VS2",62,58,625,4.31,4.37,2.69
0.61,"Ideal","H","IF",62,54.4,2438,5.44,5.47,3.38
0.3,"Very Good","F","VVS2",59.9,56,730,4.38,4.44,2.64
0.34,"Premium","H","VVS1",61.2,60,995,4.5,4.46,2.74
0.4,"Premium","D","SI2",61.1,58,666,4.73,4.76,2.9
1.5,"Ideal","J","SI1",59.4,62,6745,7.38,7.35,4.38
0.31,"Ideal","G","IF",61.8,56,891,4.33,4.37,2.69
0.8,"Very Good","H","VS1",60.9,57,3273,5.98,6.02,3.65
1.52,"Premium","D","SI2",60.2,60,8897,7.46,7.4,4.47
0.41,"Premium","E","VS1",59.9,58,1079,4.83,4.88,2.91
0.65,"Very Good","F","VS1",59.3,56,2406,5.64,5.76,3.37
1.53,"Very Good","E","SI1",60.8,60,12386,7.43,7.51,4.54
0.3,"Very Good","J","VS2",63.4,57,473,4.26,4.22,2.69
1,"Ideal","E","I1",61.8,56,3520,6.38,6.43,3.96
0.33,"Ideal","G","VS1",62.4,56,666,4.43,4.45,2.77
1.01,"Very Good","F","VS1",63.7,56,7001,6.27,6.33,4.01
0.33,"Very Good","E","SI1",60.6,60,579,4.41,4.44,2.68
0.51,"Ideal","E","VVS1",61.1,54.7,2691,5.16,5.2,3.17
1.38,"Very Good","F","IF",58.2,60,17598,7.32,7.39,4.28
0.43,"Ideal","F","VVS1",62.3,55,1422,4.88,4.85,3.03
1.58,"Ideal","I","VS2",61.1,55,10338,7.48,7.53,4.59
1.01,"Premium","G","VS2",63,56,5864,6.41,6.35,4.02
0.31,"Ideal","I","VS2",59.9,57,435,4.38,4.4,2.63
0.36,"Ideal","D","VS1",61.7,55,1131,4.58,4.6,2.83
1.28,"Ideal","I","VS1",61.3,57,7025,7.02,6.98,4.29
0.52,"Ideal","F","IF",61.7,57,2733,5.13,5.17,3.18
0.26,"Ideal","E","VS1",61.8,55,580,4.13,4.09,2.54
0.32,"Ideal","E","VS2",62.3,54,702,4.37,4.4,2.73
0.31,"Premium","H","VVS2",62.6,58,802,4.31,4.28,2.69
0.73,"Ideal","D","VS2",62,56,3440,5.74,5.78,3.57
1.05,"Premium","H","SI1",61.9,58,4608,6.45,6.5,4.01
0.31,"Very Good","D","SI2",61.5,60,462,4.31,4.34,2.66
1.14,"Very Good","H","SI1",63.1,58,5458,6.69,6.6,4.19
0.32,"Premium","I","VS2",62.2,59,449,4.35,4.37,2.71
0.71,"Ideal","J","SI1",61.6,57,1889,5.72,5.75,3.53
0.35,"Ideal","G","VVS2",62.1,56,798,4.47,4.51,2.79
0.58,"Premium","E","VS1",60.7,58,2105,5.41,5.36,3.27
1.33,"Very Good","G","VS2",61.7,59,8953,7.04,7.09,4.36
0.41,"Ideal","J","VVS1",62,57,994,4.79,4.73,2.95
2.71,"Premium","E","SI2",60.4,59,17146,9.13,9.03,5.48
0.7,"Premium","F","SI2",62.5,60,2373,5.66,5.61,3.52
0.31,"Ideal","E","SI2",61.3,55,558,4.37,4.34,2.67
2.3,"Ideal","G","SI2",61.6,57,15433,8.47,8.41,5.2
1.67,"Ideal","I","VS2",61.9,57,12406,7.56,7.59,4.69
1,"Premium","G","VS2",62,62,5645,6.41,6.36,3.96
0.53,"Premium","D","SI1",61.6,59,1753,5.2,5.16,3.19
1.59,"Ideal","H","VVS2",62.6,54,12971,7.43,7.47,4.67
0.71,"Ideal","H","SI2",61.8,55,2024,5.75,5.7,3.54
0.7,"Ideal","J","VS2",62.6,57,1874,5.64,5.67,3.54
2.04,"Premium","E","SI2",58.3,58,17379,8.35,8.31,4.86
1.01,"Fair","D","SI1",64.6,60,4751,6.12,6.08,3.94
0.51,"Very Good","G","SI1",63,53,1220,5.1,5.13,3.22
0.31,"Premium","J","VS2",62.3,60,488,4.34,4.29,2.69
0.56,"Ideal","G","VVS2",60.7,56,2167,5.33,5.32,3.23
0.35,"Very Good","G","VVS1",59.3,61,921,4.58,4.62,2.73
